LONGITUDE,LATITUDE,FLT_PLAN_ID
-78.15,38.01666667,FP_00019
-76.06666667,39.05,FP_00019
-74.11666667,40.55,FP_00019
-73.76666667,40.63333333,FP_00019
-72.9,41.23333333,FP_00019
-71.11666667,41.85,FP_00019
-71.0,42.36666667,FP_00019
-95.33333333,29.98333333,FP_00020
-90.95,30.11666667,FP_00020
-88.36666667,30.73333333,FP_00020
-86.68333333,30.83333333,FP_00020
-82.5,31.53333333,FP_00020
-81.2,32.15,FP_00020
-80.03333333,32.9,FP_00020
-76.2,36.9,FP_00020
-75.11666667,39.3,FP_00020
-73.53333333,40.8,FP_00020
-72.9,41.23333333,FP_00020
-71.11666667,41.85,FP_00020
-71.0,42.36666667,FP_00020
-95.33333333,29.98333333,FP_00021
-92.75,33.25,FP_00021
-89.98333333,35.01666667,FP_00021
-86.45,36.93333333,FP_00021
-84.31666667,38.65,FP_00021
-80.21666667,40.81666667,FP_00021
-78.65,42.93333333,FP_00021
-73.8,42.75,FP_00021
-71.03333333,42.45,FP_00021
-70.95,42.26666667,FP_00021
-71.0,42.36666667,FP_00021
-95.33333333,29.98333333,FP_00022
-90.95,30.11666667,FP_00022
-88.36666667,30.73333333,FP_00022
-86.31666667,32.21666667,FP_00022
-83.31666667,33.95,FP_00022
-82.15,34.25,FP_00022
-77.01666667,36.71666667,FP_00022
-75.51666667,38.35,FP_00022
-75.11666667,39.3,FP_00022
-73.53333333,40.8,FP_00022
-72.78333333,41.3,FP_00022
-71.11666667,41.85,FP_00022
-71.0,42.36666667,FP_00022
-95.33333333,29.98333333,FP_00023
-96.38333333,32.18333333,FP_00023
-97.18333333,32.88333333,FP_00023
-95.78333333,34.85,FP_00023
-94.11666667,36.25,FP_00023
-90.48333333,38.86666667,FP_00023
-84.05,40.28333333,FP_00023
-82.16666667,41.35,FP_00023
-79.11666667,42.18333333,FP_00023
-73.8,42.75,FP_00023
-71.03333333,42.45,FP_00023
-70.95,42.26666667,FP_00023
-71.0,42.36666667,FP_00023
-95.33333333,29.98333333,FP_00024
-94.35,29.0,FP_00024
-91.23333333,28.98333333,FP_00024
-90.1,29.18333333,FP_00024
-87.58333333,31.3,FP_00024
-86.31666667,32.21666667,FP_00024
-83.31666667,33.95,FP_00024
-82.15,34.25,FP_00024
-77.01666667,36.71666667,FP_00024
-75.51666667,38.35,FP_00024
-75.11666667,39.3,FP_00024
-73.53333333,40.8,FP_00024
-72.9,41.23333333,FP_00024
-71.11666667,41.85,FP_00024
-71.0,42.36666667,FP_00024
-95.33333333,29.98333333,FP_00025
-93.1,30.13333333,FP_00025
-91.3,30.48333333,FP_00025
-88.36666667,30.73333333,FP_00025
-86.31666667,32.21666667,FP_00025
-77.01666667,36.71666667,FP_00025
-75.51666667,38.35,FP_00025
-75.11666667,39.3,FP_00025
-73.53333333,40.8,FP_00025
-72.9,41.23333333,FP_00025
-71.11666667,41.85,FP_00025
-71.0,42.36666667,FP_00025
-95.33333333,29.98333333,FP_00026
-93.1,30.13333333,FP_00026
-91.3,30.48333333,FP_00026
-89.6,31.28333333,FP_00026
-88.8,32.38333333,FP_00026
-83.9,35.9,FP_00026
-83.03333333,37.25,FP_00026
-81.11666667,37.78333333,FP_00026
-78.15,38.01666667,FP_00026
-76.06666667,39.05,FP_00026
-74.11666667,40.55,FP_00026
-73.76666667,40.63333333,FP_00026
-72.9,41.23333333,FP_00026
-71.11666667,41.85,FP_00026
-71.0,42.36666667,FP_00026
-95.33333333,29.98333333,FP_00027
-90.95,30.11666667,FP_00027
-88.36666667,30.73333333,FP_00027
-84.16666667,33.65,FP_00027
-82.15,34.25,FP_00027
-77.01666667,36.71666667,FP_00027
-75.51666667,38.35,FP_00027
-75.11666667,39.3,FP_00027
-73.53333333,40.8,FP_00027
-72.9,41.23333333,FP_00027
-71.11666667,41.85,FP_00027
-71.0,42.36666667,FP_00027
-95.33333333,29.98333333,FP_00028
-94.41666667,31.18333333,FP_00028
-92.5,31.25,FP_00028
-90.28333333,33.46666667,FP_00028
-79.1,37.9,FP_00028
-78.15,38.01666667,FP_00028
-76.06666667,39.05,FP_00028
-74.11666667,40.55,FP_00028
-73.76666667,40.63333333,FP_00028
-72.9,41.23333333,FP_00028
-71.11666667,41.85,FP_00028
-71.0,42.36666667,FP_00028
-95.33333333,29.98333333,FP_00029
-93.1,30.13333333,FP_00029
-88.48333333,31.1,FP_00029
-83.31666667,33.95,FP_00029
-83.3,34.7,FP_00029
-79.1,37.9,FP_00029
-78.15,38.01666667,FP_00029
-76.06666667,39.05,FP_00029
-74.11666667,40.55,FP_00029
-73.76666667,40.63333333,FP_00029
-72.9,41.23333333,FP_00029
-71.11666667,41.85,FP_00029
-71.0,42.36666667,FP_00029
-95.33333333,29.98333333,FP_00030
-90.95,30.11666667,FP_00030
-88.36666667,30.73333333,FP_00030
-86.31666667,32.21666667,FP_00030
-83.65,32.68333333,FP_00030
-80.03333333,32.9,FP_00030
-77.13333333,35.85,FP_00030
-76.2,36.9,FP_00030
-75.11666667,39.3,FP_00030
-73.53333333,40.8,FP_00030
-72.9,41.23333333,FP_00030
-71.11666667,41.85,FP_00030
-71.0,42.36666667,FP_00030
-95.33333333,29.98333333,FP_00031
-94.65,31.25,FP_00031
-92.18333333,34.68333333,FP_00031
-87.76666667,37.93333333,FP_00031
-83.61666667,40.53333333,FP_00031
-82.16666667,41.35,FP_00031
-79.26666667,42.48333333,FP_00031
-78.65,42.93333333,FP_00031
-73.8,42.75,FP_00031
-71.03333333,42.45,FP_00031
-70.95,42.26666667,FP_00031
-71.0,42.36666667,FP_00031
-95.33333333,29.98333333,FP_00032
-94.65,31.25,FP_00032
-92.18333333,34.68333333,FP_00032
-87.76666667,37.93333333,FP_00032
-83.61666667,40.53333333,FP_00032
-82.16666667,41.35,FP_00032
-79.26666667,42.48333333,FP_00032
-78.65,42.93333333,FP_00032
-73.8,42.75,FP_00032
-71.03333333,42.45,FP_00032
-70.95,42.26666667,FP_00032
-71.0,42.36666667,FP_00032
-95.33333333,29.98333333,FP_00033
-93.1,30.13333333,FP_00033
-91.3,30.48333333,FP_00033
-86.31666667,32.21666667,FP_00033
-83.31666667,33.95,FP_00033
-82.15,34.25,FP_00033
-77.01666667,36.71666667,FP_00033
-75.51666667,38.35,FP_00033
-75.11666667,39.3,FP_00033
-73.53333333,40.8,FP_00033
-72.9,41.23333333,FP_00033
-71.11666667,41.85,FP_00033
-71.0,42.36666667,FP_00033
-95.33333333,29.98333333,FP_00034
-93.1,30.13333333,FP_00034
-88.48333333,31.1,FP_00034
-86.31666667,32.21666667,FP_00034
-84.43333333,33.63333333,FP_00034
-80.71666667,37.08333333,FP_00034
-79.1,37.9,FP_00034
-78.15,38.01666667,FP_00034
-76.06666667,39.05,FP_00034
-74.11666667,40.55,FP_00034
-73.76666667,40.63333333,FP_00034
-72.9,41.23333333,FP_00034
-71.11666667,41.85,FP_00034
-71.0,42.36666667,FP_00034
-95.33333333,29.98333333,FP_00035
-95.96666667,31.11666667,FP_00035
-96.21666667,32.18333333,FP_00035
-96.23333333,33.53333333,FP_00035
-95.78333333,36.2,FP_00035
-93.33333333,37.35,FP_00035
-87.76666667,37.93333333,FP_00035
-83.61666667,40.53333333,FP_00035
-82.16666667,41.35,FP_00035
-79.11666667,42.18333333,FP_00035
-73.8,42.75,FP_00035
-70.96666667,42.43333333,FP_00035
-71.0,42.36666667,FP_00035
-95.33333333,29.98333333,FP_00036
-93.1,30.13333333,FP_00036
-91.3,30.48333333,FP_00036
-90.46666667,31.18333333,FP_00036
-84.43333333,33.63333333,FP_00036
-82.15,34.25,FP_00036
-77.01666667,36.71666667,FP_00036
-75.51666667,38.35,FP_00036
-75.11666667,39.3,FP_00036
-73.53333333,40.8,FP_00036
-72.9,41.23333333,FP_00036
-71.11666667,41.85,FP_00036
-71.0,42.36666667,FP_00036
-95.33333333,29.98333333,FP_00037
-94.65,31.25,FP_00037
-92.18333333,34.68333333,FP_00037
-87.76666667,37.93333333,FP_00037
-83.61666667,40.53333333,FP_00037
-82.16666667,41.35,FP_00037
-79.11666667,42.18333333,FP_00037
-73.8,42.75,FP_00037
-70.96666667,42.43333333,FP_00037
-71.0,42.36666667,FP_00037
-95.33333333,29.98333333,FP_00038
-93.1,30.13333333,FP_00038
-88.48333333,31.1,FP_00038
-80.95,35.18333333,FP_00038
-78.78333333,35.86666667,FP_00038
-77.01666667,36.71666667,FP_00038
-75.51666667,38.35,FP_00038
-75.11666667,39.3,FP_00038
-73.53333333,40.8,FP_00038
-72.9,41.23333333,FP_00038
-71.11666667,41.85,FP_00038
-71.0,42.36666667,FP_00038
-95.33333333,29.98333333,FP_00039
-90.95,30.11666667,FP_00039
-88.36666667,30.73333333,FP_00039
-86.68333333,30.83333333,FP_00039
-82.5,31.53333333,FP_00039
-81.2,32.15,FP_00039
-80.03333333,32.9,FP_00039
-77.13333333,35.85,FP_00039
-76.2,36.9,FP_00039
-75.11666667,39.3,FP_00039
-73.53333333,40.8,FP_00039
-72.78333333,41.3,FP_00039
-71.11666667,41.85,FP_00039
-71.0,42.36666667,FP_00039
-95.33333333,29.98333333,FP_00040
-92.75,33.25,FP_00040
-89.98333333,35.01666667,FP_00040
-84.05,36.95,FP_00040
-81.11666667,37.78333333,FP_00040
-78.15,38.01666667,FP_00040
-76.06666667,39.05,FP_00040
-74.11666667,40.55,FP_00040
-73.76666667,40.63333333,FP_00040
-72.78333333,41.3,FP_00040
-71.11666667,41.85,FP_00040
-71.0,42.36666667,FP_00040
-95.33333333,29.98333333,FP_00041
-93.1,30.13333333,FP_00041
-91.3,30.48333333,FP_00041
-87.56666667,33.23333333,FP_00041
-86.9,33.66666667,FP_00041
-84.43333333,33.63333333,FP_00041
-82.15,34.25,FP_00041
-77.01666667,36.71666667,FP_00041
-75.51666667,38.35,FP_00041
-75.11666667,39.3,FP_00041
-73.53333333,40.8,FP_00041
-72.78333333,41.3,FP_00041
-71.11666667,41.85,FP_00041
-71.0,42.36666667,FP_00041
-95.33333333,29.98333333,FP_00042
-94.41666667,31.18333333,FP_00042
-92.5,31.25,FP_00042
-90.16666667,32.5,FP_00042
-86.9,33.66666667,FP_00042
-79.1,37.9,FP_00042
-78.15,38.01666667,FP_00042
-76.06666667,39.05,FP_00042
-74.11666667,40.55,FP_00042
-73.76666667,40.63333333,FP_00042
-72.9,41.23333333,FP_00042
-71.11666667,41.85,FP_00042
-71.0,42.36666667,FP_00042
-95.33333333,29.98333333,FP_00043
-93.1,30.13333333,FP_00043
-88.48333333,31.1,FP_00043
-77.01666667,36.71666667,FP_00043
-75.51666667,38.35,FP_00043
-75.11666667,39.3,FP_00043
-73.53333333,40.8,FP_00043
-72.9,41.23333333,FP_00043
-71.11666667,41.85,FP_00043
-71.0,42.36666667,FP_00043
-95.33333333,29.98333333,FP_00044
-93.1,30.13333333,FP_00044
-91.3,30.48333333,FP_00044
-89.6,31.28333333,FP_00044
-88.8,32.38333333,FP_00044
-85.16666667,38.7,FP_00044
-84.05,40.28333333,FP_00044
-79.11666667,42.18333333,FP_00044
-73.8,42.75,FP_00044
-71.03333333,42.45,FP_00044
-70.95,42.26666667,FP_00044
-71.0,42.36666667,FP_00044
-95.33333333,29.98333333,FP_00045
-95.96666667,31.11666667,FP_00045
-96.21666667,32.18333333,FP_00045
-96.23333333,33.53333333,FP_00045
-95.78333333,36.2,FP_00045
-94.48333333,38.26666667,FP_00045
-92.6,40.13333333,FP_00045
-90.63333333,41.31666667,FP_00045
-88.31666667,41.55,FP_00045
-86.11666667,42.15,FP_00045
-83.6,42.41666667,FP_00045
-79.11666667,42.18333333,FP_00045
-73.8,42.75,FP_00045
-70.96666667,42.43333333,FP_00045
-71.0,42.36666667,FP_00045
-95.33333333,29.98333333,FP_00046
-93.1,30.13333333,FP_00046
-88.48333333,31.1,FP_00046
-82.15,34.25,FP_00046
-77.83333333,37.53333333,FP_00046
-76.4,38.28333333,FP_00046
-75.51666667,38.35,FP_00046
-75.11666667,39.3,FP_00046
-73.53333333,40.8,FP_00046
-72.9,41.23333333,FP_00046
-71.11666667,41.85,FP_00046
-71.0,42.36666667,FP_00046
-95.33333333,29.98333333,FP_00047
-93.1,30.13333333,FP_00047
-91.3,30.48333333,FP_00047
-83.9,35.9,FP_00047
-79.1,37.9,FP_00047
-78.15,38.01666667,FP_00047
-76.06666667,39.05,FP_00047
-74.11666667,40.55,FP_00047
-73.76666667,40.63333333,FP_00047
-72.9,41.23333333,FP_00047
-71.11666667,41.85,FP_00047
-71.0,42.36666667,FP_00047
-95.33333333,29.98333333,FP_00048
-94.65,31.25,FP_00048
-92.18333333,34.68333333,FP_00048
-87.76666667,37.93333333,FP_00048
-83.61666667,40.53333333,FP_00048
-82.16666667,41.35,FP_00048
-79.11666667,42.18333333,FP_00048
-73.8,42.75,FP_00048
-71.0,42.36666667,FP_00048
-95.33333333,29.98333333,FP_00049
-95.96666667,31.11666667,FP_00049
-96.21666667,32.18333333,FP_00049
-96.23333333,33.53333333,FP_00049
-95.78333333,36.2,FP_00049
-89.68333333,39.83333333,FP_00049
-87.06666667,40.55,FP_00049
-83.45,42.05,FP_00049
-78.65,42.93333333,FP_00049
-73.8,42.75,FP_00049
-71.03333333,42.45,FP_00049
-70.95,42.26666667,FP_00049
-71.0,42.36666667,FP_00049
-95.33333333,29.98333333,FP_00050
-94.65,31.25,FP_00050
-92.18333333,34.68333333,FP_00050
-89.8,40.68333333,FP_00050
-83.45,42.05,FP_00050
-78.65,42.93333333,FP_00050
-73.8,42.75,FP_00050
-71.03333333,42.45,FP_00050
-70.95,42.26666667,FP_00050
-71.0,42.36666667,FP_00050
-95.33333333,29.98333333,FP_00051
-94.65,31.25,FP_00051
-92.18333333,34.68333333,FP_00051
-89.56666667,37.23333333,FP_00051
-86.36666667,39.81666667,FP_00051
-85.18333333,40.98333333,FP_00051
-83.45,42.05,FP_00051
-78.65,42.93333333,FP_00051
-73.8,42.75,FP_00051
-71.03333333,42.45,FP_00051
-70.95,42.26666667,FP_00051
-71.0,42.36666667,FP_00051
-95.33333333,29.98333333,FP_00052
-92.75,33.25,FP_00052
-89.98333333,35.01666667,FP_00052
-85.16666667,36.58333333,FP_00052
-81.11666667,37.78333333,FP_00052
-78.15,38.01666667,FP_00052
-76.06666667,39.05,FP_00052
-74.11666667,40.55,FP_00052
-73.76666667,40.63333333,FP_00052
-72.9,41.23333333,FP_00052
-71.11666667,41.85,FP_00052
-71.0,42.36666667,FP_00052
-95.33333333,29.98333333,FP_00053
-92.75,33.25,FP_00053
-88.9,34.63333333,FP_00053
-86.68333333,36.13333333,FP_00053
-82.03333333,38.75,FP_00053
-79.86666667,39.55,FP_00053
-76.76666667,41.33333333,FP_00053
-73.8,42.75,FP_00053
-70.96666667,42.43333333,FP_00053
-71.0,42.36666667,FP_00053
-95.33333333,29.98333333,FP_00054
-92.75,33.25,FP_00054
-89.98333333,35.01666667,FP_00054
-86.68333333,36.13333333,FP_00054
-81.76666667,38.35,FP_00054
-80.81666667,40.01666667,FP_00054
-78.65,42.93333333,FP_00054
-73.8,42.75,FP_00054
-71.03333333,42.45,FP_00054
-70.95,42.26666667,FP_00054
-71.0,42.36666667,FP_00054
-95.33333333,29.98333333,FP_00055
-94.65,31.25,FP_00055
-92.18333333,34.68333333,FP_00055
-86.45,36.93333333,FP_00055
-81.11666667,37.78333333,FP_00055
-78.15,38.01666667,FP_00055
-76.06666667,39.05,FP_00055
-74.11666667,40.55,FP_00055
-73.76666667,40.63333333,FP_00055
-72.9,41.23333333,FP_00055
-71.11666667,41.85,FP_00055
-71.0,42.36666667,FP_00055
-95.33333333,29.98333333,FP_00056
-93.1,30.13333333,FP_00056
-91.3,30.48333333,FP_00056
-90.46666667,31.18333333,FP_00056
-86.31666667,32.21666667,FP_00056
-83.31666667,33.95,FP_00056
-81.93333333,35.03333333,FP_00056
-76.4,38.28333333,FP_00056
-75.51666667,38.35,FP_00056
-75.11666667,39.3,FP_00056
-73.53333333,40.8,FP_00056
-72.9,41.23333333,FP_00056
-71.11666667,41.85,FP_00056
-71.0,42.36666667,FP_00056
-95.33333333,29.98333333,FP_00057
-90.95,30.11666667,FP_00057
-88.36666667,30.73333333,FP_00057
-84.16666667,33.63333333,FP_00057
-81.93333333,35.03333333,FP_00057
-78.78333333,35.86666667,FP_00057
-77.01666667,36.71666667,FP_00057
-75.51666667,38.35,FP_00057
-75.11666667,39.3,FP_00057
-73.53333333,40.8,FP_00057
-72.9,41.23333333,FP_00057
-71.11666667,41.85,FP_00057
-71.0,42.36666667,FP_00057
-95.33333333,29.98333333,FP_00058
-92.75,33.25,FP_00058
-89.98333333,35.01666667,FP_00058
-84.05,36.95,FP_00058
-81.11666667,37.78333333,FP_00058
-78.15,38.01666667,FP_00058
-76.06666667,39.05,FP_00058
-74.11666667,40.55,FP_00058
-73.76666667,40.63333333,FP_00058
-72.9,41.23333333,FP_00058
-71.11666667,41.85,FP_00058
-71.0,42.36666667,FP_00058
-95.33333333,29.98333333,FP_00059
-93.1,30.13333333,FP_00059
-91.3,30.48333333,FP_00059
-83.9,35.9,FP_00059
-81.76666667,38.35,FP_00059
-78.0,40.91666667,FP_00059
-73.8,42.75,FP_00059
-70.96666667,42.43333333,FP_00059
-71.0,42.36666667,FP_00059
-95.33333333,29.98333333,FP_00060
-93.1,30.13333333,FP_00060
-91.3,30.48333333,FP_00060
-90.46666667,31.18333333,FP_00060
-83.31666667,33.95,FP_00060
-82.15,34.25,FP_00060
-77.01666667,36.71666667,FP_00060
-75.51666667,38.35,FP_00060
-75.11666667,39.3,FP_00060
-73.53333333,40.8,FP_00060
-72.9,41.23333333,FP_00060
-71.11666667,41.85,FP_00060
-71.0,42.36666667,FP_00060
-95.33333333,29.98333333,FP_00061
-90.95,30.11666667,FP_00061
-88.36666667,30.73333333,FP_00061
-86.31666667,32.21666667,FP_00061
-81.05,33.85,FP_00061
-78.78333333,35.86666667,FP_00061
-77.01666667,36.71666667,FP_00061
-75.51666667,38.35,FP_00061
-75.11666667,39.3,FP_00061
